age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class,height_m,BMI,BP_Category,fitness_score
38,M,178.4,83.02,14.6,64.0,118.0,44.8,20.7,41.0,226.0,B,1.784,26.085131412254416,Normal,0.6721264367816091
59,M,167.9,64.9,21.9,75.0,116.0,41.2,14.4,36.0,201.0,B,1.679,23.022013514524975,Normal,0.5545977011494253
23,F,165.4,51.2,26.4,71.0,115.0,21.9,25.5,38.0,140.0,D,1.6540000000000001,18.71539297207751,Normal,0.31666666666666665
30,F,169.3,66.2,34.2,96.0,140.0,29.0,14.8,42.0,186.0,C,1.693,23.096388345883415,Hypertension Stage 2,0.4583333333333333
32,F,158.9,49.2,21.8,71.0,118.0,24.3,30.5,42.0,202.0,A,1.589,19.485758168275364,Normal,0.5264367816091954
27,M,171.2,73.1,19.3,60.0,113.0,56.9,8.4,45.0,209.0,C,1.712,24.940769936238972,Normal,0.6560344827586205
50,M,172.5,81.0,22.8,88.0,128.0,50.2,20.9,40.0,214.0,A,1.725,27.221172022684307,Hypertension Stage 1,0.6267241379310344
33,M,174.9,80.2,23.5,79.0,131.0,50.7,19.3,53.0,233.0,A,1.749,26.217709637885047,Hypertension Stage 1,0.718103448275862
43,M,173.3,64.76,14.4,78.0,154.0,60.1,20.0,48.0,238.0,A,1.733,21.563026402054547,Hypertension Stage 2,0.7712643678160921
62,M,168.4,71.6,15.7,73.0,157.0,42.7,17.1,45.0,213.0,B,1.6840000000000002,25.248108507625204,Hypertension Stage 2,0.6370689655172413
27,F,156.5,60.8,32.3,81.0,145.0,21.4,21.3,34.0,160.0,A,1.565,24.82417907705499,Hypertension Stage 1,0.3442528735632185
53,F,155.5,49.6,28.6,95.0,142.0,23.3,24.9,34.0,126.0,B,1.555,20.512608430433932,Hypertension Stage 2,0.2626436781609196
56,F,156.1,53.9,33.3,80.0,131.0,23.0,17.1,22.0,119.0,B,1.561,22.1198898027308,Hypertension Stage 1,0.1936781609195402
21,M,172.7,76.2,16.7,88.0,133.0,34.1,2.5,55.0,160.0,D,1.7269999999999999,25.54878762285296,Hypertension Stage 1,0.48591954022988515
24,M,166.8,70.0,13.0,81.0,134.0,50.4,16.7,60.0,244.0,A,1.6680000000000001,25.159728332441954,Hypertension Stage 1,0.7991379310344826
24,F,163.2,70.2,31.8,91.0,137.0,34.2,23.1,47.0,165.0,A,1.632,26.357050173010386,Hypertension Stage 1,0.43419540229885045
60,F,148.4,50.1,28.1,78.0,116.0,27.2,32.6,13.0,130.0,B,1.484,22.749398798323178,Normal,0.2264367816091954
22,M,168.0,60.8,20.3,72.0,130.0,31.7,15.9,57.0,233.0,B,1.68,21.541950113378686,Hypertension Stage 1,0.6841954022988505
43,M,174.0,77.0,16.4,80.0,120.0,53.3,5.2,29.0,180.0,D,1.74,25.43268595587264,Hypertension Stage 1,0.524712643678161
37,M,170.0,74.4,19.4,87.0,133.0,46.3,17.4,37.0,224.0,C,1.7,25.743944636678204,Hypertension Stage 1,0.6454022988505748
29,F,163.0,54.7,21.3,74.0,120.0,35.5,32.9,66.0,207.0,A,1.63,20.58790319545335,Elevated,0.643390804597701
48,F,160.5,58.0,29.8,60.0,109.0,25.0,15.0,37.0,140.0,B,1.605,22.515309439931677,Normal,0.3129310344827586
32,M,177.3,77.4,20.9,85.0,142.0,51.2,24.2,36.0,193.0,C,1.7730000000000001,24.622009213212284,Hypertension Stage 1,0.5632183908045977
25,M,170.0,78.9,18.7,82.0,138.0,38.9,10.2,48.0,245.0,C,1.7,27.30103806228374,Hypertension Stage 1,0.718103448275862
63,F,146.5,41.4,26.1,61.0,126.0,17.0,21.8,12.0,131.0,B,1.465,19.289683048142667,Elevated,0.20287356321839084
25,M,179.8,87.6,24.9,80.0,135.0,40.6,18.0,45.0,234.0,B,1.798,27.097219627295683,Hypertension Stage 1,0.6649425287356323
22,M,168.7,75.1,21.88911,87.0,141.0,53.0,15.5,50.0,160.0,C,1.6869999999999998,26.388200293116338,Hypertension Stage 1,0.5109508333333335
28,F,169.6,68.0,34.6,69.0,126.0,27.2,21.4,26.0,179.0,C,1.696,23.64053043787825,Elevated,0.3859195402298851
56,M,171.8,77.5,26.0,74.0,126.0,36.6,0.4,23.0,180.0,D,1.7180000000000002,26.257621486391432,Elevated,0.431896551724138
45,F,156.8,51.9,28.4,78.0,146.0,14.1,18.4,34.0,128.0,D,1.568,21.109368492294873,Hypertension Stage 2,0.24252873563218388
61,M,170.9,69.0,19.2,82.0,143.0,45.3,19.3,34.0,203.0,A,1.709,23.624627270146927,Hypertension Stage 1,0.5741379310344827
39,M,179.3,77.9,24.3,98.0,158.0,38.7,6.9,32.0,234.0,D,1.7930000000000001,24.231309153244833,Hypertension Stage 2,0.6238505747126436
48,M,180.2,87.0,22.0,78.0,129.0,51.3,16.8,42.0,227.0,A,1.8019999999999998,26.792280374131103,Elevated,0.6752873563218391
39,M,169.2,84.6,35.9,74.0,102.0,37.1,13.9,34.0,165.0,D,1.692,29.55082742316785,Normal,0.3933908045977011
32,F,170.0,56.6,27.2,85.0,114.0,28.6,10.9,43.0,159.0,C,1.7,19.584775086505193,Hypertension Stage 1,0.4025862068965518
30,F,162.7,51.1,23.9,79.0,136.0,27.7,21.2,33.0,181.0,A,1.6269999999999998,19.303932675740402,Hypertension Stage 1,0.44396551724137934
22,M,166.2,78.7,28.6,77.0,120.0,42.5,7.4,40.0,204.0,D,1.662,28.49132806515283,Elevated,0.5591954022988505
25,M,178.6,78.5,23.7,90.0,140.0,44.3,23.8,60.0,224.0,A,1.786,24.609724258228425,Hypertension Stage 2,0.6933908045977012
43,F,161.0,65.8,38.2,95.0,141.0,27.2,18.0,36.0,100.0,D,1.61,25.38482311639211,Hypertension Stage 2,0.17729885057471262
33,M,174.9,79.9,20.7,71.0,130.0,52.1,16.2,76.0,244.0,A,1.749,26.119638404825626,Hypertension Stage 1,0.8278735632183909
63,M,164.2,59.1,22.6,80.0,137.0,31.4,12.0,24.0,178.0,C,1.642,21.920031570779823,Hypertension Stage 1,0.4238505747126437
38,M,175.7,70.7,21.6,70.0,111.0,41.7,15.1,43.0,236.0,B,1.757,22.90213080517997,Normal,0.6775862068965516
27,F,161.6,47.1,25.1,98.0,138.0,25.5,20.0,34.0,159.0,C,1.6159999999999999,18.03591559651015,Hypertension Stage 1,0.37385057471264377
26,F,160.9,51.5,29.5,82.0,124.0,26.3,29.7,36.0,168.0,B,1.609,19.892764480097775,Hypertension Stage 1,0.39511494252873564
22,F,165.7,59.4,34.1,77.0,118.0,21.5,14.9,27.0,149.0,D,1.6569999999999998,21.63422928422388,Normal,0.28764367816091957
27,M,177.9,87.8,20.8,90.0,120.0,42.6,18.3,58.0,218.0,C,1.7790000000000001,27.742309961227114,Hypertension Stage 2,0.6738505747126436
32,F,168.0,59.5,22.7,68.0,103.0,29.0,13.1,51.0,182.0,C,1.68,21.08134920634921,Normal,0.5057471264367817
30,M,178.3,76.0,14.9,81.0,127.0,38.4,20.9,47.0,222.0,A,1.7830000000000001,23.906219674881697,Hypertension Stage 1,0.6586206896551724
55,F,156.3,54.9,35.7,73.0,114.0,23.2,16.1,16.0,135.0,B,1.5630000000000002,22.472655199472438,Normal,0.2160919540229885
28,F,164.9,54.18,22.0,72.0,118.0,29.0,17.7,42.0,175.0,B,1.649,19.924970607174682,Normal,0.4617816091954023
26,F,156.9,63.5,32.7,81.0,139.0,27.5,24.8,50.0,177.0,B,1.569,25.794543012095815,Hypertension Stage 1,0.45545977011494254
27,M,182.1,83.2,8.4,80.0,120.0,49.6,14.1,62.0,245.0,B,1.821,25.09016022419506,Hypertension Stage 1,0.8186781609195404
51,M,159.0,62.3,20.4,88.0,152.0,42.4,15.7,44.0,198.0,A,1.59,24.64301253906095,Hypertension Stage 1,0.5767241379310345
47,F,157.0,70.9,36.0,68.0,120.0,24.7,14.8,19.0,132.0,D,1.57,28.763844375025357,Elevated,0.21954022988505745
25,F,157.8,44.8,26.8,80.0,127.0,20.6,18.9,38.0,162.0,A,1.578,17.991360934008647,Hypertension Stage 1,0.375
30,M,178.5,70.1,17.4,92.0,134.0,48.9,15.4,52.0,245.0,A,1.785,22.000957245643356,Hypertension Stage 1,0.7620689655172413
22,F,162.2,43.7,20.3,79.0,113.0,21.0,15.8,39.0,168.0,C,1.6219999999999999,16.61038647085923,Normal,0.41494252873563214
28,F,169.3,68.1,29.8,80.0,128.0,32.7,24.8,33.0,175.0,A,1.693,23.759275624692755,Hypertension Stage 1,0.42413793103448266
27,F,156.3,50.7,24.7,83.0,135.0,29.1,25.0,60.0,202.0,A,1.5630000000000002,20.75343567601553,Hypertension Stage 1,0.5836206896551724
56,F,159.2,47.9,26.5,84.0,140.0,25.0,12.1,26.0,141.0,C,1.5919999999999999,18.899459609605824,Hypertension Stage 1,0.29367816091954024
24,M,161.3,63.3,17.0,77.0,126.0,37.9,4.9,53.0,196.0,D,1.6130000000000002,24.329600360370186,Elevated,0.5936781609195402
35,M,176.6,70.1,11.7,71.0,117.0,36.7,14.2,54.0,262.0,B,1.766,22.476910665662846,Normal,0.7979885057471264
48,M,178.4,73.8,16.7,86.0,136.0,35.6,10.4,46.0,180.0,B,1.784,23.188179935249046,Hypertension Stage 1,0.5218390804597702
59,M,171.0,66.2,15.6,96.0,129.0,37.1,15.6,41.0,184.0,A,1.71,22.63944461543723,Hypertension Stage 2,0.5264367816091955
59,M,179.3,69.8,17.6,91.0,134.0,42.7,15.2,23.0,178.0,C,1.7930000000000001,21.71175069186764,Hypertension Stage 1,0.467816091954023
27,M,169.6,68.5,15.7,80.0,150.0,49.4,22.1,59.0,261.0,A,1.696,23.814357867568532,Hypertension Stage 1,0.8344827586206895
21,F,171.9,69.5,32.1,98.0,142.0,27.4,17.6,34.0,141.0,C,1.719,23.519768958033623,Hypertension Stage 2,0.30747126436781613
33,M,174.8,69.4,13.6,97.0,153.0,55.7,17.7,59.0,241.0,A,1.7480000000000002,22.71311050484633,Hypertension Stage 2,0.8011494252873562
28,M,175.8,93.3,33.5,80.0,137.0,42.6,11.5,38.0,215.0,D,1.758,30.188664593258704,Hypertension Stage 1,0.571264367816092
43,M,167.8,68.24,21.1,82.0,118.0,39.5,12.5,31.0,214.0,D,1.6780000000000002,24.235674173664368,Hypertension Stage 1,0.575
21,F,167.9,57.6,25.9,72.0,117.0,24.1,24.4,52.0,196.0,B,1.679,20.432480407344197,Normal,0.5255747126436783
29,M,179.4,77.6,16.5,82.0,141.0,46.1,27.0,54.0,248.0,A,1.794,24.111089982836383,Hypertension Stage 1,0.7709770114942529
51,M,167.4,56.4,13.2,77.0,123.0,30.8,9.2,46.0,212.0,C,1.6740000000000002,20.12649717586704,Elevated,0.6100574712643678
26,M,183.0,91.5,14.2,89.0,152.0,59.8,24.0,52.0,218.0,A,1.83,27.322404371584696,Hypertension Stage 1,0.725
60,F,160.1,60.3,35.0,75.0,136.0,27.3,15.0,11.0,101.0,C,1.601,23.525271720789746,Hypertension Stage 1,0.11781609195402303
25,M,168.4,67.3,18.5,91.0,126.0,39.9,16.8,45.0,198.0,B,1.6840000000000002,23.731811488312516,Hypertension Stage 2,0.5778735632183907
22,F,164.5,54.6,21.9,84.0,130.0,31.9,23.3,40.0,185.0,A,1.645,20.177197180366036,Hypertension Stage 1,0.4933908045977011
60,M,173.2,80.5,23.1,98.0,154.0,46.9,8.6,48.0,211.0,C,1.732,26.834907647915347,Hypertension Stage 2,0.6307471264367814
22,F,158.1,76.1,40.7,67.0,106.0,26.3,5.2,29.0,137.0,D,1.581,30.44534620279321,Normal,0.2537356321839081
32,M,173.0,74.7,12.0,84.0,122.0,53.8,23.0,76.0,274.0,A,1.73,24.95906979852317,Hypertension Stage 1,0.9439655172413793
25,F,173.0,66.2,27.3,73.0,110.0,35.4,26.3,43.0,183.0,A,1.73,22.119015002171807,Normal,0.4908045977011493
27,F,158.4,51.0,26.3,75.0,118.0,25.9,13.1,39.0,148.0,C,1.584,20.326369758187937,Normal,0.3543103448275862
25,M,169.7,53.0,18.1,90.0,140.0,36.4,17.3,34.0,174.0,D,1.6969999999999998,18.403998320721968,Hypertension Stage 2,0.46839080459770116
38,M,158.9,69.9,36.0,86.0,147.0,30.1,2.5,26.0,145.0,D,1.589,27.684034470781466,Hypertension Stage 1,0.2925287356321839
24,M,177.5,83.2,19.8,89.0,144.0,47.6,21.6,48.0,254.0,D,1.775,26.40745883753224,Hypertension Stage 1,0.7658045977011494
21,M,171.1,57.7,13.9,75.0,142.0,44.6,13.6,50.0,229.0,B,1.7109999999999999,19.7095084885813,Hypertension Stage 2,0.7080459770114943
30,M,170.5,67.8,21.4,75.0,122.0,48.4,11.0,51.0,204.0,B,1.705,23.32281284130683,Elevated,0.628448275862069
22,M,166.0,62.4,20.1,73.0,128.0,38.5,19.1,45.0,185.0,C,1.66,22.644796051676586,Elevated,0.531896551724138
21,M,168.2,64.0,18.5,86.0,143.0,37.9,15.5,66.0,233.0,B,1.682,22.621843369184244,Hypertension Stage 1,0.7330459770114942
41,M,174.7,75.2,21.2,74.0,122.0,52.0,22.0,46.0,211.0,A,1.7469999999999999,24.63950794378392,Elevated,0.6451149425287356
61,M,166.9,68.0,24.8,68.0,132.0,40.6,18.2,28.0,190.0,B,1.669,24.411599674176944,Hypertension Stage 1,0.4899425287356322
50,M,183.6,83.9,21.0,92.0,151.0,59.4,21.5,46.0,227.0,A,1.8359999999999999,24.889524921563886,Hypertension Stage 2,0.7129310344827585
31,M,173.4,84.9,33.0,70.0,119.0,33.7,1.4,33.0,190.0,D,1.734,28.236411601074384,Normal,0.460919540229885
37,M,166.8,74.2,19.9,89.0,129.0,40.3,3.1,43.0,223.0,D,1.6680000000000001,26.669312032388472,Hypertension Stage 1,0.6410919540229886
55,M,164.9,61.6,20.9,79.0,143.0,39.4,14.4,27.0,189.0,C,1.649,22.65371335182651,Hypertension Stage 2,0.4919540229885057
51,F,167.2,58.52,27.3,80.0,128.0,19.6,12.8,21.0,165.0,C,1.672,20.933014354066987,Hypertension Stage 1,0.3304597701149425
23,F,160.3,46.8,25.6,80.0,123.0,16.0,12.7,17.0,126.0,D,1.6030000000000002,18.21288764166065,Hypertension Stage 1,0.20143678160919543
50,M,175.0,76.9,24.9,88.0,138.0,42.5,13.0,36.0,198.0,C,1.75,25.110204081632656,Hypertension Stage 1,0.5410919540229885
23,M,168.0,57.3,10.1,57.0,112.0,45.6,14.9,50.0,242.0,B,1.68,20.301870748299322,Normal,0.7591954022988505
48,M,177.1,67.8,14.1,69.0,126.0,41.8,16.2,56.0,208.0,A,1.771,21.616858088514977,Elevated,0.6563218390804597
42,M,169.0,72.3,23.6,90.0,110.0,46.6,20.7,46.0,240.0,A,1.69,25.314239697489587,Hypertension Stage 2,0.7060344827586207
24,F,154.7,62.4,29.9,66.0,100.0,33.0,22.0,49.0,179.0,A,1.547,26.07377792746058,Normal,0.48218390804597705
22,M,170.9,57.1,9.9,70.0,116.0,40.0,12.1,49.0,226.0,B,1.709,19.550235030802746,Normal,0.6948275862068966
54,F,155.9,62.7,35.8,96.0,153.0,27.5,10.0,12.0,100.0,D,1.5590000000000002,25.797362744246918,Hypertension Stage 2,0.11609195402298852
25,F,164.9,67.0,32.4,72.0,118.0,28.6,15.4,35.0,149.0,B,1.649,24.639590820980132,Normal,0.335919540229885
50,M,168.8,76.8,23.2,82.0,132.0,43.1,5.5,39.0,197.0,C,1.6880000000000002,26.953572471417974,Hypertension Stage 1,0.553448275862069
24,M,174.5,79.94,11.9,86.0,147.0,55.3,20.2,62.0,268.0,B,1.745,26.25265802415415,Hypertension Stage 1,0.8910919540229886
32,M,184.7,85.6,16.0,76.0,153.0,55.1,26.1,50.0,237.0,B,1.847,25.092271258005123,Hypertension Stage 2,0.7551724137931035
23,F,157.1,48.6,32.8,83.0,124.0,27.1,20.4,43.0,162.0,A,1.571,19.691731215162147,Hypertension Stage 1,0.39080459770114945
23,M,173.2,66.7,12.7,90.0,152.0,42.1,19.2,57.0,218.0,C,1.732,22.234637765415574,Hypertension Stage 2,0.692816091954023
21,F,160.7,59.38,31.5,72.0,137.0,26.1,28.5,37.0,155.0,A,1.607,22.993677706703988,Hypertension Stage 1,0.3543103448275862
29,M,175.4,70.4,17.3,78.0,133.0,50.4,18.0,60.0,250.0,A,1.754,22.88302742452827,Hypertension Stage 1,0.804022988505747
33,M,176.8,72.2,14.4,75.0,118.0,42.5,15.5,45.0,218.0,B,1.768,23.097909543211646,Normal,0.6545977011494253
64,F,153.8,54.3,37.4,88.0,149.0,20.2,20.0,19.0,111.0,C,1.538,22.955521246751136,Hypertension Stage 1,0.14224137931034478
51,M,173.8,64.6,15.8,82.0,135.0,31.4,12.8,53.0,220.0,B,1.7380000000000002,21.38616798272156,Hypertension Stage 1,0.6474137931034482
22,M,170.8,67.2,13.1,96.0,154.0,44.9,22.1,58.0,234.0,A,1.7080000000000002,23.035282374169764,Hypertension Stage 2,0.7485632183908044
55,F,155.1,66.5,39.5,77.0,135.0,24.7,18.2,13.0,102.0,D,1.551,27.643819569413218,Hypertension Stage 1,0.10603448275862067
26,F,162.8,54.4,22.2,84.0,132.0,34.6,22.9,57.0,186.0,A,1.6280000000000001,20.52532765063477,Hypertension Stage 1,0.5520114942528737
26,M,164.1,63.4,15.2,58.0,129.0,48.2,14.6,44.0,223.0,C,1.641,23.54355799606444,Elevated,0.6801724137931034
55,M,168.3,65.7,23.2,80.0,113.0,38.9,14.6,33.0,191.0,C,1.683,23.195147448057167,Hypertension Stage 1,0.5068965517241378
27,M,185.3,75.6,18.9,85.0,141.0,45.1,16.3,56.0,211.0,C,1.8530000000000002,22.017649650848416,Hypertension Stage 1,0.6606321839080461
33,M,177.5,68.0,16.9,83.0,117.0,43.5,12.1,52.0,195.0,B,1.775,21.583019242213847,Hypertension Stage 1,0.6043103448275863
58,F,151.3,48.5,24.2,88.0,141.0,17.3,19.0,25.0,131.0,B,1.5130000000000001,21.186727585425103,Hypertension Stage 1,0.2465517241379311
33,F,159.7,51.9,33.1,93.0,135.0,25.7,16.7,35.0,144.0,C,1.597,20.349677247845346,Hypertension Stage 1,0.3112068965517241
23,F,169.9,54.2,24.9,66.0,106.0,18.2,22.8,21.0,133.0,D,1.699,18.776408655023676,Normal,0.24137931034482754
40,M,173.8,77.6,28.9,76.0,121.0,45.6,9.8,43.0,198.0,B,1.7380000000000002,25.689885997820323,Elevated,0.5586206896551725
22,M,175.1,65.04,9.3,66.0,132.0,45.2,13.6,57.0,234.0,B,1.751,21.21330032181986,Hypertension Stage 1,0.757471264367816
35,M,186.4,75.7,18.4,100.0,142.0,54.2,24.0,50.0,230.0,A,1.864,21.78733260881578,Hypertension Stage 2,0.7255747126436781
57,F,161.1,52.3,30.8,64.0,130.0,28.2,19.4,27.0,159.0,B,1.611,20.15164983445208,Hypertension Stage 1,0.3451149425287356
45,M,175.6,76.9,14.9,80.0,123.0,48.5,10.2,53.0,222.0,B,1.756,24.938901313297464,Hypertension Stage 1,0.7048850574712644
37,F,173.5,58.7,19.3,87.0,153.0,30.8,23.8,42.0,189.0,A,1.735,19.500203473162305,Hypertension Stage 1,0.5149425287356322
62,F,159.8,57.1,32.1,82.0,130.0,25.2,22.3,13.0,127.0,B,1.598,22.36055394650071,Hypertension Stage 1,0.20057471264367815
21,F,161.4,57.5,32.0,77.0,108.0,21.6,2.5,18.0,153.0,D,1.614,22.072970553505645,Normal,0.2795977011494253
56,F,158.4,49.3,26.0,76.0,116.0,21.3,9.0,5.0,116.0,D,1.584,19.648824099581674,Normal,0.15229885057471268
21,M,173.7,63.2,9.3,79.0,139.0,40.3,13.1,57.0,244.0,B,1.7369999999999999,20.9467881978106,Hypertension Stage 1,0.7721264367816092
32,M,172.8,76.1,16.8,54.0,118.0,57.4,18.3,55.0,239.0,A,1.7280000000000002,25.48573602537722,Normal,0.7795977011494252
27,M,173.5,74.5,18.6,65.0,121.0,35.3,14.1,50.0,230.0,C,1.735,24.748980557931716,Elevated,0.6706896551724137
27,F,164.7,61.7,35.3,62.0,107.0,25.7,14.6,47.0,117.0,C,1.6469999999999998,22.745629760868603,Normal,0.2617816091954022
28,F,158.0,51.9,26.3,90.0,135.0,24.1,30.9,70.0,191.0,A,1.58,20.78993751001442,Hypertension Stage 1,0.5617816091954023
47,M,173.2,80.4,24.9,68.0,113.0,39.6,-1.0,37.0,182.0,D,1.732,26.801572358911727,Normal,0.4896551724137932
24,M,179.7,72.3,19.0,90.0,148.0,41.3,14.1,55.0,229.0,C,1.797,22.38938390175427,Hypertension Stage 2,0.6982758620689655
28,M,176.8,85.9,24.9,66.0,121.0,48.2,6.3,49.0,226.0,C,1.768,27.480753874818287,Elevated,0.6752873563218391
25,M,164.9,71.7,20.6,83.0,138.0,40.1,18.7,70.0,223.0,B,1.649,26.368039729317548,Hypertension Stage 1,0.7160919540229884
62,M,167.7,78.9,30.9,87.0,150.0,36.3,7.1,26.0,174.0,B,1.6769999999999998,28.05503907970939,Hypertension Stage 1,0.4083333333333334
25,M,185.9,78.76,18.3,72.0,119.0,49.3,5.0,39.0,219.0,D,1.859,22.790136581670495,Normal,0.6485632183908046
26,F,157.7,52.9,26.8,76.0,125.0,32.1,19.0,47.0,173.0,A,1.577,21.27121441746025,Elevated,0.46551724137931033
39,F,158.5,57.1,28.9,65.0,130.0,28.0,20.1,21.0,139.0,C,1.585,22.72885589467504,Hypertension Stage 1,0.2752873563218391
26,M,178.9,82.8,22.3,89.0,132.0,52.7,11.6,44.0,192.0,C,1.7890000000000001,25.870787912343015,Hypertension Stage 1,0.5836206896551723
37,M,171.2,79.1,23.6,82.0,148.0,55.8,14.4,33.0,214.0,D,1.712,26.987891955629312,Hypertension Stage 1,0.6204022988505746
29,M,182.4,91.3,19.9,91.0,159.0,60.0,25.5,51.0,215.0,A,1.824,27.442338027085256,Hypertension Stage 2,0.6977011494252874
57,F,167.0,56.4,21.8,82.0,126.0,27.9,23.1,37.0,165.0,A,1.67,20.22302699989243,Hypertension Stage 1,0.41609195402298854
61,M,170.0,72.6,22.3,83.0,158.0,30.9,6.3,24.0,165.0,C,1.7,25.12110726643599,Hypertension Stage 1,0.3859195402298851
57,M,164.9,60.7,15.9,86.0,151.0,41.5,7.2,33.0,182.0,C,1.649,22.32273377363424,Hypertension Stage 1,0.5094827586206897
27,F,159.0,50.8,28.5,82.0,133.0,26.7,22.5,32.0,148.0,B,1.59,20.094141845654836,Hypertension Stage 1,0.3301724137931034
36,M,159.0,51.5,24.6,67.0,111.0,21.2,14.0,26.0,129.0,D,1.59,20.371029626992602,Normal,0.25373563218390804
38,M,167.0,63.0,9.8,70.0,115.0,43.3,24.21,49.0,228.0,A,1.67,22.589551436050055,Normal,0.7103448275862069
29,M,181.4,81.12,25.2,78.0,131.0,43.0,8.1,42.0,178.0,C,1.814,24.6520691084533,Hypertension Stage 1,0.5014367816091954
31,M,178.3,79.1,13.7,78.0,129.0,55.3,15.0,46.0,217.0,B,1.7830000000000001,24.88134179319924,Elevated,0.6933908045977012
25,F,163.3,53.4,24.9,88.0,138.0,33.7,21.1,43.0,169.0,A,1.633,20.024832292029554,Hypertension Stage 1,0.4525862068965517
39,M,167.5,72.8,24.8,75.0,142.0,37.7,8.6,46.0,205.0,C,1.675,25.94787257741145,Hypertension Stage 2,0.5764367816091953
23,M,168.2,65.8,18.8,73.0,130.0,42.8,12.5,48.0,213.0,B,1.682,23.25808271394255,Hypertension Stage 1,0.6370689655172413
21,M,170.9,71.1,12.9,82.0,142.0,40.4,22.2,57.0,249.0,C,1.709,24.34363766532531,Hypertension Stage 1,0.7764367816091954
33,M,172.8,70.2,28.9,68.0,103.0,39.8,7.8,40.0,199.0,C,1.7280000000000002,23.50983796296296,Normal,0.5362068965517242
29,M,175.6,84.5,21.1,78.0,107.0,65.2,12.5,49.0,240.0,B,1.756,27.403604173909432,Normal,0.775287356321839
23,F,161.6,52.4,30.4,84.0,137.0,26.0,13.0,36.0,185.0,C,1.6159999999999999,20.065434761297915,Hypertension Stage 1,0.44051724137931036
42,F,162.7,69.1,35.1,77.0,123.0,23.3,21.0,16.0,136.0,D,1.6269999999999998,26.103752404964027,Elevated,0.22097701149425292
28,F,160.9,67.2,37.0,80.0,123.0,31.2,23.2,32.0,163.0,B,1.609,25.95716064199166,Hypertension Stage 1,0.36178160919540225
48,M,177.5,78.5,16.6,83.0,139.0,47.8,-0.5,60.0,212.0,D,1.775,24.915691331085103,Hypertension Stage 1,0.689367816091954
22,F,157.9,47.2,20.9,67.0,117.0,25.7,23.6,46.0,188.0,A,1.579,18.931182344586826,Normal,0.5043103448275862
21,F,162.7,57.2,26.8,72.0,104.0,26.6,34.4,43.0,188.0,A,1.6269999999999998,21.608316028421743,Normal,0.4813218390804598
38,M,168.0,75.8,26.9,80.0,120.0,55.4,23.0,61.0,253.0,A,1.68,26.856575963718825,Hypertension Stage 1,0.8022988505747126
41,F,163.0,64.2,34.8,70.0,116.0,24.6,4.0,17.0,131.0,D,1.63,24.16349881440777,Normal,0.21408045977011497
33,M,169.9,72.1,24.6,71.0,133.0,37.4,10.5,47.0,194.0,C,1.699,24.97747350603703,Hypertension Stage 1,0.5474137931034483
60,M,164.9,70.4,30.4,94.0,156.0,37.6,14.8,27.0,162.0,B,1.649,25.88995811637316,Hypertension Stage 2,0.3818965517241379
64,M,164.3,66.82,15.8,78.0,141.0,43.3,19.3,41.0,178.0,A,1.643,24.753199634443916,Hypertension Stage 2,0.5264367816091954
27,F,158.9,58.9,33.9,76.0,122.0,23.2,14.4,35.0,165.0,B,1.589,23.327462522589816,Elevated,0.3620689655172413
48,M,190.0,85.9,6.2,90.0,120.0,56.9,16.8,39.0,219.0,C,1.9,23.795013850415515,Hypertension Stage 2,0.7051724137931034
23,M,171.7,79.7,18.8,84.0,145.0,46.1,2.4,47.0,222.0,D,1.7169999999999999,27.03446198537426,Hypertension Stage 1,0.6695402298850575
52,F,165.4,61.06,33.5,87.0,129.0,23.6,19.6,24.0,122.0,C,1.6540000000000001,22.319568259278373,Hypertension Stage 1,0.20919540229885056
52,F,156.5,61.1,37.1,93.0,152.0,28.8,21.9,21.0,147.0,B,1.565,24.946666802764142,Hypertension Stage 2,0.27701149425287364
64,F,149.4,55.0,33.2,91.0,152.0,23.0,21.0,30.0,101.0,A,1.494,24.64117962255089,Hypertension Stage 2,0.16522988505747127
34,M,167.3,71.8,31.9,94.0,125.0,33.5,9.2,30.0,192.0,D,1.673,25.652669288860128,Hypertension Stage 2,0.460632183908046
27,M,172.2,69.4,14.1,96.0,144.0,48.2,23.9,59.0,235.0,A,1.722,23.404166346292634,Hypertension Stage 2,0.760919540229885
28,F,160.1,59.6,28.5,61.0,103.0,28.4,19.9,46.0,183.0,A,1.601,23.252175697496998,Normal,0.47586206896551714
35,M,176.4,66.3,20.5,79.0,141.0,46.7,14.7,42.0,238.0,B,1.764,21.306708624492877,Hypertension Stage 2,0.6979885057471263
32,M,172.3,69.6,17.9,73.0,151.0,39.6,-0.6,46.0,214.0,D,1.723,23.444376364430703,Hypertension Stage 2,0.6275862068965519
62,M,170.5,75.8,27.4,92.0,159.0,33.4,12.4,32.0,177.0,B,1.705,26.074767158865157,Hypertension Stage 2,0.43591954022988505
47,M,174.0,86.2,25.3,95.0,146.0,38.0,19.4,49.0,201.0,B,1.74,28.471396485665213,Hypertension Stage 2,0.5729885057471263
37,F,162.8,56.9,16.5,97.0,134.0,31.0,31.2,67.0,203.0,A,1.6280000000000001,21.468587193402914,Hypertension Stage 1,0.635632183908046
46,F,161.2,60.5,28.1,83.0,132.0,21.8,19.1,31.0,155.0,B,1.6119999999999999,23.28226883978105,Hypertension Stage 1,0.3344827586206897
